# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 10.000000
nsample 64

# Analog Inputs
aichannel 10
ailabel "Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 984.279
aicalzero 0.001190
aicalunits "uA"

aichannel 11
ailabel "Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 0
do5 0

# Analog Outputs
aochannel 0
aosignal constant
aofrequency 500.000000
aoamplitude 0.000000
aooffset 5.000000
aoduty 0.500000

# Meta Parameters
meta float
wire_d_in 0.041000
standoff_in 0.150000
cut_o2_psig 45.000000

meta string
wire steel
feed_ips 10,20,30
meta end

## End Configuration ##
#: Wed Jun  9 15:10:04 2021
-3.973554e-03	9.463212e+00
7.007305e-04	9.458158e+00
-4.678254e-04	9.463528e+00
-2.204898e-03	9.468898e+00
-2.467433e-04	9.470478e+00
-4.046590e-04	9.467634e+00
-1.762734e-03	9.463528e+00
-1.731151e-03	9.461317e+00
-2.015400e-03	9.455947e+00
-2.236482e-03	9.450892e+00
-2.425980e-03	9.459105e+00
-5.710627e-03	9.466687e+00
-2.773395e-03	9.474900e+00
-1.131071e-03	9.478375e+00
-2.615479e-03	9.474900e+00
-1.541652e-03	9.473004e+00
-1.699568e-03	9.470794e+00
-2.741812e-03	9.466371e+00
5.112372e-04	9.466687e+00
2.248259e-03	9.476480e+00
-2.425980e-03	9.479322e+00
9.533883e-04	9.481850e+00
5.744016e-04	9.480902e+00
-3.405058e-03	9.475532e+00
-3.594557e-03	9.471425e+00
-5.173714e-03	9.466055e+00
-3.089227e-03	9.467003e+00
-4.131470e-03	9.471425e+00
-7.447700e-03	9.476795e+00
-4.352552e-03	9.480586e+00
-1.194238e-03	9.479639e+00
-2.141732e-03	9.474268e+00
-1.699568e-03	9.473004e+00
-1.162655e-03	9.469846e+00
2.185095e-03	9.466687e+00
4.490597e-03	9.473952e+00
-2.773395e-03	9.478059e+00
-2.520730e-03	9.479955e+00
1.585033e-03	9.482482e+00
8.270594e-04	9.479955e+00
-4.384135e-03	9.474585e+00
-2.994477e-03	9.470478e+00
-3.941971e-03	9.467003e+00
-2.836561e-03	9.469214e+00
-2.868145e-03	9.471425e+00
-7.289785e-03	9.477743e+00
-3.720889e-03	9.480270e+00
-9.731557e-04	9.478059e+00
-3.310309e-03	9.474268e+00
-1.794318e-03	9.472373e+00
-1.952233e-03	9.468582e+00
-1.510069e-03	9.470794e+00
2.500917e-03	9.475216e+00
-2.931311e-03	9.481218e+00
-1.067905e-03	9.479007e+00
2.090348e-03	9.478691e+00
-9.415725e-04	9.474268e+00
-3.341892e-03	9.469846e+00
-8.152400e-04	9.466371e+00
1.742944e-03	9.460369e+00
2.027184e-03	9.468898e+00
6.375661e-04	9.470161e+00
-1.731151e-03	9.476164e+00
6.908611e-05	9.477427e+00
-2.520730e-03	9.473004e+00
-5.236880e-03	9.467951e+00
-2.394397e-03	9.466055e+00
-2.299648e-03	9.461948e+00
1.079717e-03	9.466687e+00
5.943379e-03	9.473321e+00
-2.773395e-03	9.475848e+00
-2.457564e-03	9.476480e+00
-1.825901e-03	9.473952e+00
-5.110548e-03	9.467319e+00
-4.257803e-03	9.465424e+00
-2.236482e-03	9.463844e+00
-5.309916e-04	9.459105e+00
2.153513e-03	9.471109e+00
-1.952233e-03	9.474585e+00
-3.026060e-03	9.474900e+00
-2.078566e-03	9.474268e+00
-3.405058e-03	9.470478e+00
-5.963293e-03	9.464791e+00
-3.436641e-03	9.464791e+00
9.849706e-04	9.461948e+00
1.521868e-03	9.469214e+00
4.585344e-03	9.475216e+00
-2.962894e-03	9.474900e+00
-3.626140e-03	9.474268e+00
-2.110149e-03	9.471109e+00
-4.857882e-03	9.464791e+00
-4.194636e-03	9.463844e+00
-2.836561e-03	9.461948e+00
1.932437e-03	9.465739e+00
3.543131e-03	9.472689e+00
-3.215559e-03	9.476795e+00
-5.205297e-03	9.480270e+00
-3.594557e-03	9.482798e+00
-3.405058e-03	9.479322e+00
-2.710229e-03	9.477427e+00
-1.320570e-03	9.475532e+00
1.869273e-03	9.471109e+00
4.174775e-03	9.477112e+00
-2.015400e-03	9.479639e+00
-1.383737e-03	9.480902e+00
1.648197e-03	9.481850e+00
-1.225821e-03	9.477427e+00
-6.058042e-03	9.470161e+00
-5.142131e-03	9.468898e+00
-5.110548e-03	9.460369e+00
-4.068304e-03	9.467634e+00
