# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 10.000000
nsample 64

# Analog Inputs
aichannel 10
ailabel "Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 984.279
aicalzero 0.001190
aicalunits "uA"

aichannel 11
ailabel "Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 0
do5 0

# Analog Outputs
aochannel 0
aosignal constant
aofrequency 500.000000
aoamplitude 0.000000
aooffset 5.000000
aoduty 0.500000

# Meta Parameters
meta float
wire_d_in 0.041000
standoff_in 0.230000
cut_o2_psig 45.000000

meta string
wire steel
feed_ips 10,20,30
meta end

## End Configuration ##
#: Wed Jun  9 14:36:50 2021
1.142882e-03	9.389924e+00
-4.226220e-03	9.381080e+00
-5.268463e-03	9.373498e+00
-1.446903e-03	9.371286e+00
-2.015400e-03	9.364653e+00
-1.920650e-03	9.364337e+00
1.206046e-03	9.372550e+00
-4.984215e-03	9.380447e+00
-2.678646e-03	9.383290e+00
-6.889073e-04	9.379816e+00
-2.678646e-03	9.374446e+00
-1.225821e-03	9.372550e+00
-4.289386e-03	9.369707e+00
-1.636402e-03	9.370971e+00
-2.141732e-03	9.384554e+00
-1.004739e-03	9.394663e+00
-5.647461e-03	9.395294e+00
-2.151602e-04	9.394979e+00
-6.257411e-04	9.390556e+00
-5.773794e-03	9.384554e+00
-1.762734e-03	9.383290e+00
-5.309916e-04	9.376025e+00
-2.783265e-04	9.385818e+00
-5.489545e-03	9.390872e+00
-3.341892e-03	9.395611e+00
1.016553e-03	9.397821e+00
-3.531391e-03	9.392767e+00
-3.310309e-03	9.387397e+00
-2.783265e-04	9.385818e+00
-2.173315e-03	9.378552e+00
9.218061e-04	9.379184e+00
-1.920650e-03	9.390872e+00
-4.994085e-04	9.396558e+00
-4.605217e-03	9.397190e+00
-8.152400e-04	9.393715e+00
-1.204107e-04	9.389608e+00
-6.247541e-03	9.384870e+00
-4.994085e-04	9.381711e+00
-2.836561e-03	9.376341e+00
2.343006e-03	9.389293e+00
-4.731550e-03	9.394347e+00
-1.889067e-03	9.395294e+00
9.533883e-04	9.398138e+00
-3.689306e-03	9.389924e+00
-2.678646e-03	9.385502e+00
4.796550e-04	9.384238e+00
-2.868145e-03	9.376341e+00
3.543131e-03	9.450260e+00
-9.415725e-04	9.468898e+00
-1.510069e-03	9.483113e+00
-1.131071e-03	9.486904e+00
-3.626140e-03	9.487220e+00
-7.226618e-03	9.485325e+00
1.322506e-04	9.490695e+00
6.908611e-05	9.488799e+00
-2.783265e-04	9.488168e+00
-4.763133e-03	9.488799e+00
-2.173315e-03	9.490063e+00
-5.625748e-04	9.489431e+00
-1.004739e-03	9.488483e+00
-5.173714e-03	9.485956e+00
-3.720889e-03	9.488168e+00
1.322506e-04	9.489431e+00
-1.952233e-03	9.479955e+00
-2.046983e-03	9.489116e+00
-4.362422e-04	9.490379e+00
-1.952233e-03	9.488799e+00
-7.836568e-04	9.489747e+00
-5.457962e-03	9.486904e+00
-2.425980e-03	9.488483e+00
1.954150e-04	9.489747e+00
-3.720889e-03	9.487536e+00
-4.163053e-03	9.488168e+00
1.322506e-04	9.490695e+00
-2.204898e-03	9.486904e+00
-3.278725e-03	9.488799e+00
-4.320969e-03	9.488168e+00
-1.794318e-03	9.486904e+00
-6.573242e-04	9.488799e+00
-2.331231e-03	9.488168e+00
-2.078566e-03	9.489431e+00
1.458704e-03	9.486588e+00
-2.046983e-03	9.488168e+00
-4.542051e-03	9.487220e+00
-2.046983e-03	9.490063e+00
-1.131071e-03	9.487852e+00
-3.152393e-03	9.487220e+00
-3.878805e-03	9.488799e+00
1.585033e-03	9.487852e+00
-1.699568e-03	9.486273e+00
-2.583896e-03	9.488168e+00
-5.489545e-03	9.487536e+00
1.521868e-03	9.490063e+00
-1.573235e-03	9.487852e+00
-4.320969e-03	9.486273e+00
-3.562974e-03	9.488168e+00
-9.099894e-04	9.488168e+00
-3.657723e-03	9.449312e+00
6.890846e-03	9.431307e+00
-2.331231e-03	9.416459e+00
-2.647062e-03	9.409825e+00
-1.573235e-03	9.400349e+00
-1.983816e-03	9.393084e+00
-4.921049e-03	9.388977e+00
-1.794318e-03	9.381395e+00
-3.089227e-03	9.376972e+00
3.985282e-03	9.395294e+00
-4.384135e-03	9.397190e+00
-1.889067e-03	9.397190e+00
-2.741812e-03	9.395294e+00
