# Configuration automatically generated by WRITE_CONFIG()
connection ethernet
#connection (actual) ?
device any
#device (actual) t7
name "LJ1"
serial "470010172"
ip "192.168.1.32"
samplehz 1000.000000
settleus 10.000000
nsample 64

# Analog Inputs
aichannel 10
ailabel "Current"
ainegative 199
airange 1.000000
airesolution 0
aicalslope 984.279297
aicalzero 0.001190
aicalunits "uA"

aichannel 11
ailabel "Voltage"
ainegative 199
airange 10.000000
airesolution 0
aicalslope 1.000000
aicalzero 0.000000
aicalunits "V"

# Digital output
do4 0
do5 0

# Analog Outputs
aochannel 0
aosignal constant
aofrequency 500.000000
aoamplitude 0.000000
aooffset 5.000000
aoduty 0.500000

# Meta Parameters
meta float
wire_d_in 0.041000
standoff_in 0.100000
cut_o2_psig 20.000000

meta string
wire steel
feed_ips 31
meta end

## End Configuration ##
#: Thu Jun 10 16:27:14 2021
-8.784062e-04	9.390241e+00
-2.015400e-03	9.386450e+00
3.849083e-04	9.383607e+00
1.006683e-04	9.375077e+00
5.744016e-04	9.382343e+00
-1.835770e-04	9.389924e+00
-1.036322e-03	9.398454e+00
-6.257411e-04	9.397190e+00
-5.394796e-03	9.396558e+00
7.323128e-04	9.399085e+00
-8.784062e-04	9.393399e+00
-3.468224e-03	9.388029e+00
8.270594e-04	9.392451e+00
-2.204898e-03	9.401612e+00
1.016553e-03	9.412037e+00
-3.414928e-04	9.407299e+00
-4.636800e-03	9.402876e+00
-4.099887e-03	9.400981e+00
-7.204905e-04	9.397190e+00
-2.236482e-03	9.393399e+00
3.385219e-03	9.389608e+00
1.206046e-03	9.398769e+00
-2.362814e-03	9.408562e+00
1.322506e-04	9.408878e+00
-3.278725e-03	9.405719e+00
-4.163053e-03	9.402876e+00
1.638328e-04	9.399717e+00
-1.204107e-04	9.394663e+00
-4.636800e-03	9.385818e+00
-1.794318e-03	9.390872e+00
-1.541652e-03	9.407299e+00
-4.226220e-03	9.406667e+00
-1.510069e-03	9.407299e+00
-1.257404e-03	9.405403e+00
-6.373873e-03	9.398769e+00
-3.730759e-04	9.397506e+00
-3.720889e-03	9.389293e+00
-8.468231e-04	9.394031e+00
-2.467433e-04	9.404140e+00
-5.900126e-03	9.405719e+00
-1.320570e-03	9.409825e+00
-4.362422e-04	9.405403e+00
-3.594557e-03	9.400349e+00
1.322506e-04	9.400349e+00
-8.468231e-04	9.391188e+00
-2.299648e-03	9.448049e+00
-3.626140e-03	9.474900e+00
-5.521129e-03	9.479639e+00
-4.478885e-03	9.484377e+00
-3.752473e-03	9.485009e+00
-3.847222e-03	9.485956e+00
-6.889073e-04	9.487536e+00
-1.889067e-03	9.484377e+00
-1.731151e-03	9.485325e+00
-1.835770e-04	9.488168e+00
-7.520737e-04	9.485325e+00
-8.784062e-04	9.487220e+00
-6.257411e-04	9.487220e+00
-5.724445e-05	9.486904e+00
1.954150e-04	9.488799e+00
-4.510468e-03	9.484377e+00
-4.605217e-03	9.485009e+00
-3.247142e-03	9.486588e+00
-6.058042e-03	9.486273e+00
-3.941971e-03	9.485956e+00
-2.899728e-03	9.485641e+00
-1.983816e-03	9.485325e+00
2.585794e-04	9.487536e+00
-2.552313e-03	9.485641e+00
-1.857484e-03	9.486904e+00
1.585033e-03	9.483746e+00
5.921666e-06	9.486273e+00
2.901617e-04	9.487852e+00
-8.468231e-04	9.488168e+00
-4.699967e-03	9.485325e+00
-3.120810e-03	9.486904e+00
-4.636800e-03	9.484061e+00
-4.478885e-03	9.485641e+00
-2.710229e-03	9.486273e+00
-4.099887e-03	9.486273e+00
-1.415320e-03	9.487536e+00
-2.615479e-03	9.485325e+00
-1.478486e-03	9.486904e+00
4.796550e-04	9.488168e+00
-1.225821e-03	9.485325e+00
-6.257411e-04	9.487536e+00
1.869273e-03	9.488483e+00
-8.468231e-04	9.487220e+00
-1.857484e-03	9.488483e+00
-5.615878e-03	9.485325e+00
-4.163053e-03	9.485956e+00
-1.510069e-03	9.486273e+00
-3.089227e-03	9.484377e+00
-2.015400e-03	9.486588e+00
1.322506e-04	9.487536e+00
3.037815e-03	9.451208e+00
4.480728e-04	9.429095e+00
-1.131071e-03	9.428780e+00
-1.383737e-03	9.421198e+00
-1.952233e-03	9.414880e+00
-5.994876e-03	9.406035e+00
-1.446903e-03	9.403192e+00
-1.699568e-03	9.396874e+00
-4.289386e-03	9.386450e+00
3.227308e-03	9.396558e+00
-2.078566e-03	9.405403e+00
-1.762734e-03	9.411721e+00
-2.566131e-05	9.408562e+00
-3.057643e-03	9.402876e+00
-4.826299e-03	9.398454e+00
7.323128e-04	9.396558e+00
